id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3701,Antetokounmpo,Giannis,64.55,MIL,F,MEM,35.00,35.24,0.14,12.11,6.27,0.93,1.70,3.90,13.70,7.42,4.77,13.84,8.97,0.76,0.084,Probable,
6275,Cunningham,Cade,56.11,DET,G,CHI,36.00,28.26,2.41,6.55,10.55,1.07,0.75,4.13,8.43,4.17,0.80,10.84,11.83,0.58,0.064,,
5450,Tatum,Jayson,49.65,BOS,F,@ PHI,36.00,25.38,3.25,9.19,5.87,1.04,0.50,3.13,5.43,4.77,1.08,8.68,10.10,0.49,0.034,,
6160,Maxey,Tyrese,48.76,PHI,G,BOS,38.00,30.23,3.58,3.87,6.02,1.52,0.44,2.44,7.25,4.99,0.77,10.83,13.59,0.11,0.002,,
6164,Bane,Desmond,45.70,MEM,G,@ MIL,34.00,24.26,3.18,6.92,6.06,1.18,0.41,2.55,5.74,3.24,0.51,8.92,9.96,0.11,0.012,,
3404,Vucevic,Nikola,45.05,CHI,C,@ DET,35.00,21.18,2.05,10.62,4.19,0.90,0.74,1.83,6.45,2.13,0.49,8.50,8.42,0.58,0.017,,
6276,Mobley,Evan,44.00,CLE,C,DAL,32.00,19.97,1.06,10.38,3.59,1.11,1.55,2.17,6.52,3.75,1.12,7.58,6.26,0.58,0.012,,
3542,Lillard,Damian,43.75,MIL,G,MEM,35.00,23.34,3.16,4.66,7.32,1.26,0.26,3.02,3.75,6.36,0.53,6.91,9.69,0.31,0.009,Probable,
3001,Harden,James,43.05,LAC,G,@ TOR,34.00,20.48,2.59,6.79,6.96,1.47,0.64,4.14,3.05,6.61,0.81,5.64,8.73,0.11,0.012,,
5266,Brown,Jaylen,40.38,BOS,F,@ PHI,36.00,22.55,1.75,6.15,4.99,1.18,0.35,2.90,6.96,3.38,1.30,8.71,8.78,0.11,0.003,,
5460,Mitchell,Donovan,40.31,CLE,G,DAL,32.00,22.45,3.59,4.79,4.93,1.55,0.28,2.06,4.40,2.88,0.63,7.99,10.53,0.03,0.001,,
5361,Zubac,Ivica,40.10,LAC,C,@ TOR,34.00,15.43,0.00,13.07,2.55,0.78,1.45,2.04,6.77,1.89,1.16,6.77,3.63,0.70,0.007,,
6285,Barnes,Scottie,39.59,TOR,F,LAC,34.00,16.84,1.14,7.98,5.79,1.52,0.80,3.21,5.52,2.38,0.83,6.66,8.07,0.28,0.020,,
5698,Jackson Jr.,Jaren,39.18,MEM,C,@ MIL,31.00,21.24,1.72,6.71,2.41,1.53,1.50,2.30,6.00,4.08,1.06,7.72,8.89,0.11,0.001,,
6112,Garland,Darius,38.96,CLE,G,DAL,32.00,20.54,2.95,2.84,7.49,1.28,0.19,2.51,4.46,2.77,0.39,7.41,8.56,0.31,0.003,,
6057,Barrett,R.J.,38.43,TOR,G,LAC,34.00,20.39,1.56,6.65,5.57,0.81,0.33,3.76,6.18,3.35,1.60,7.74,7.91,0.11,0.008,,
5043,Porzingis,Kristaps,37.90,BOS,F,@ PHI,30.00,19.12,2.12,7.50,2.35,0.76,1.78,1.47,4.27,4.22,0.74,6.39,6.18,0.31,0.003,,
3377,Leonard,Kawhi,37.85,LAC,F,@ TOR,30.00,20.86,1.61,5.99,3.58,1.40,0.68,1.89,5.94,4.15,0.57,7.55,7.22,0.07,0.001,,
5468,Allen,Jarrett,37.62,CLE,C,DAL,31.00,15.32,0.00,11.39,2.33,1.07,1.08,1.20,6.13,3.06,1.12,6.13,3.27,0.57,0.006,,
6282,Giddey,Josh,36.77,CHI,G,@ DET,31.00,14.03,1.51,6.83,7.39,1.20,0.55,3.22,3.88,1.74,0.52,5.39,6.55,0.26,0.029,,
6507,Duren,Jalen,35.53,DET,C,CHI,28.00,13.18,0.00,11.71,2.74,0.65,1.23,1.91,5.59,2.00,0.83,5.59,2.31,0.52,0.005,,
5039,Oubre,Kelly,33.84,PHI,F,BOS,38.00,16.24,1.55,7.44,2.27,1.51,0.72,1.54,4.59,2.41,0.77,6.14,7.58,0.28,0.003,,
5355,Poeltl,Jakob,33.08,TOR,C,LAC,31.00,12.14,0.00,9.95,2.64,1.17,1.33,2.06,5.28,1.58,0.94,5.28,3.62,0.37,0.004,,
5976,White,Coby,31.54,CHI,G,@ DET,32.00,18.66,3.15,3.23,4.15,0.93,0.19,2.49,3.30,2.61,0.40,6.45,8.51,0.03,0.001,,
5475,White,Derrick,30.79,BOS,G,@ PHI,34.00,14.79,3.15,4.55,3.80,0.85,1.11,1.84,2.01,1.32,0.25,5.16,6.26,0.03,0.001,,
3551,Middleton,Khris,29.63,MIL,F,MEM,24.00,13.36,1.55,4.65,5.50,0.93,0.29,2.20,3.31,2.09,0.36,4.86,5.67,0.06,0.002,Probable,
2846,Lopez,Brook,29.33,MIL,C,MEM,32.00,14.33,2.38,5.14,1.66,0.76,1.94,1.18,3.05,1.09,0.34,5.43,5.79,0.06,0.000,Probable,
3399,Thompson,Klay,28.83,DAL,G,@ CLE,30.00,16.90,3.65,3.88,2.18,0.84,0.55,1.64,2.36,1.23,0.10,6.01,7.97,0.02,0.000,,
3367,Harris,Tobias,28.46,DET,F,CHI,31.00,13.29,1.26,6.30,2.65,0.77,0.76,1.01,3.87,1.77,0.26,5.13,5.93,0.09,0.001,,
6321,Dosunmu,Ayo,28.25,CHI,G,@ DET,32.00,13.70,1.76,3.75,4.58,1.00,0.45,1.64,3.55,1.32,0.34,5.31,5.50,0.02,0.000,,
3914,Dinwiddie,Spencer,28.17,DAL,G,@ CLE,30.00,14.67,1.93,3.20,4.54,0.90,0.30,1.43,2.76,3.36,0.61,4.69,6.82,0.03,0.001,,
6327,Aldama,Santi,28.09,MEM,F,@ MIL,26.00,13.10,1.87,6.56,2.37,0.82,0.53,1.07,3.19,1.11,0.50,5.06,6.02,0.09,0.001,,
6195,Marshall,Naji,27.40,DAL,F,@ CLE,30.00,14.06,1.35,4.74,3.23,1.18,0.19,1.77,4.13,1.75,0.35,5.48,6.06,0.03,0.001,,
5449,Ball,Lonzo,26.81,CHI,G,@ DET,26.00,9.30,2.38,4.07,4.75,1.77,0.72,1.80,0.78,0.60,0.17,3.16,5.41,0.01,0.000,,
6733,Thompson,Ausar,26.41,DET,F,CHI,26.00,11.01,0.40,6.47,2.09,1.34,0.90,1.23,4.24,1.33,1.00,4.64,4.39,0.07,0.001,,
5459,Kennard,Luke,26.11,MEM,G,@ MIL,30.00,12.63,2.92,4.17,3.87,0.73,0.06,1.22,1.17,1.53,0.20,4.09,4.93,0.02,0.000,,
6185,Quickley,Immanuel,26.07,TOR,G,LAC,23.00,13.15,1.84,3.01,4.90,0.64,0.13,1.38,2.52,2.59,0.47,4.36,5.95,0.02,0.000,,
5427,Beasley,Malik,26.07,DET,G,CHI,26.00,16.49,3.73,3.10,1.66,0.81,0.06,0.84,2.03,1.24,0.56,5.76,7.81,0.02,0.000,,
6944,Buzelis,Matas,25.67,CHI,F,@ DET,26.00,13.65,1.99,5.25,0.94,0.59,1.19,1.19,2.73,2.22,0.53,4.72,6.14,0.06,0.000,,
6322,Grimes,Quentin,25.63,DAL,G,@ CLE,28.00,13.26,2.24,4.64,2.80,0.78,0.25,1.69,2.46,1.62,0.44,4.70,5.75,0.02,0.000,,
6158,Williams,Patrick,25.53,CHI,F,@ DET,29.00,12.27,2.17,4.79,2.35,1.05,0.64,1.51,2.14,1.48,0.33,4.31,6.09,0.02,0.000,,
5267,Yabusele,Guerschon,25.31,PHI,F,BOS,30.00,11.12,1.79,6.65,1.82,0.82,0.51,1.03,2.22,1.31,0.59,4.01,4.45,0.07,0.000,,
6076,Strus,Max,24.21,CLE,F,DAL,28.00,10.70,2.29,4.85,3.21,0.71,0.33,1.24,1.46,0.91,0.24,3.75,5.49,0.02,0.000,,
6942,Edey,Zach,23.82,MEM,C,@ MIL,22.00,9.69,0.42,7.56,0.97,0.64,1.13,1.50,3.52,1.39,0.71,3.94,3.34,0.15,0.000,Playing,
6759,Prosper,Olivier-Maxence,23.79,DAL,F,@ CLE,25.00,10.95,0.90,6.53,1.58,0.77,0.30,0.75,2.77,2.71,1.45,3.67,5.06,0.06,0.000,Starting,
3004,Holiday,Jrue,23.61,BOS,G,@ PHI,30.00,9.86,1.68,4.23,3.81,0.87,0.46,1.55,2.02,0.78,0.12,3.70,4.48,0.01,0.000,,
6184,Pritchard,Payton,23.57,BOS,G,@ PHI,26.00,11.58,2.49,3.36,3.56,0.70,0.15,1.04,1.67,0.77,0.14,4.16,4.85,0.01,0.000,Questionable,
6974,Wells,Jaylen,23.30,MEM,F,@ MIL,30.00,13.31,2.38,4.16,1.76,0.60,0.12,1.04,2.21,1.75,0.33,4.59,5.93,0.02,0.000,,
5442,Jones,Derrick,23.25,LAC,F,@ TOR,32.00,11.90,1.09,4.53,1.26,1.21,0.72,1.27,3.61,1.41,0.51,4.70,4.49,0.02,0.000,,
6013,Coffey,Amir,22.73,LAC,F,@ TOR,34.00,13.86,2.01,3.18,1.43,0.88,0.23,1.00,2.80,2.23,0.32,4.81,5.45,0.02,0.000,Starting,
5425,LeVert,Caris,22.61,CLE,G,DAL,23.00,10.06,1.39,3.01,3.89,0.93,0.54,1.40,2.05,1.79,0.62,3.44,4.62,0.01,0.000,Playing,
6067,Clarke,Brandon,22.57,MEM,F,@ MIL,24.00,9.13,0.14,6.45,1.35,1.02,0.79,0.84,3.95,0.81,0.41,4.09,3.02,0.05,0.000,,
6747,Dick,Gradey,22.51,TOR,G,LAC,28.00,13.31,1.93,3.41,1.86,0.84,0.11,1.48,2.77,1.98,0.28,4.70,6.53,0.02,0.000,,
6113,Porter Jr.,Kevin,21.14,LAC,G,@ TOR,22.00,10.78,0.84,3.43,2.86,1.07,0.19,2.35,3.50,1.26,0.59,4.34,5.55,0.01,0.000,,
6930,Kelley,Kylor,20.15,DAL,C,@ CLE,25.00,9.01,0.01,4.73,0.73,0.43,1.86,0.95,3.70,1.58,0.74,3.71,4.44,0.01,0.000,Starting,
3709,Hardaway Jr.,Tim,19.97,DET,G,CHI,31.00,11.80,2.13,2.87,1.75,0.56,0.07,0.76,1.68,2.05,0.42,3.81,5.67,0.01,0.000,,
6565,Pippen Jr.,Scotty,19.93,MEM,G,@ MIL,17.00,8.16,0.87,2.87,4.42,0.79,0.28,2.08,2.17,1.21,0.52,3.04,3.36,0.01,0.000,,
6181,Merrill,Sam,19.41,CLE,G,DAL,24.00,9.28,2.53,2.89,2.63,0.60,0.17,0.48,0.50,0.69,0.05,3.03,5.21,0.00,0.000,,
6124,Jerome,Ty,19.39,CLE,G,DAL,18.00,9.66,1.27,2.22,3.30,0.88,0.07,1.09,2.38,1.09,0.16,3.65,4.05,0.01,0.000,,
