Team,Game Time (EST),Spread,Total
Detroit Pistons,2025-02-02 03:10 PM,-4.5,236.5
Chicago Bulls,2025-02-02 03:10 PM,4.5,236.5
Cleveland Cavaliers,2025-02-02 03:40 PM,-15.5,236.5
Dallas Mavericks,2025-02-02 03:40 PM,5.0,226.5
Toronto Raptors,2025-02-02 03:40 PM,5.5,219.5
Los Angeles Clippers,2025-02-02 03:40 PM,-5.5,219.5
Philadelphia 76ers,2025-02-02 06:10 PM,11.5,225.5
Boston Celtics,2025-02-02 06:10 PM,-11.5,225.5
Milwaukee Bucks,2025-02-02 08:40 PM,-3.0,247.5
Memphis Grizzlies,2025-02-02 08:40 PM,3.0,247.5
Detroit Pistons,2025-02-03 07:10 PM,-4.5,236.5
Atlanta Hawks,2025-02-03 07:10 PM,,
Charlotte Hornets,2025-02-03 07:10 PM,,
Washington Wizards,2025-02-03 07:10 PM,,
Utah Jazz,2025-02-03 09:10 PM,,
Indiana Pacers,2025-02-03 09:10 PM,,
Golden State Warriors,2025-02-03 10:10 PM,,
Orlando Magic,2025-02-03 10:10 PM,,
Portland Trail Blazers,2025-02-03 10:10 PM,,
Phoenix Suns,2025-02-03 10:10 PM,,
Los Angeles Lakers,2025-02-25 10:00 PM,-5.0,226.5
Dallas Mavericks,2025-02-25 10:00 PM,5.0,226.5
