Team,Game Time (EST),Spread,Total
Orlando Magic,2025-03-29 04:11 PM,-29.5,208.5
Sacramento Kings,2025-03-29 04:11 PM,29.5,208.5
Washington Wizards,2025-03-29 06:11 PM,-3.5,218.5
Brooklyn Nets,2025-03-29 06:11 PM,3.5,218.5
Philadelphia 76ers,2025-03-29 06:40 PM,8.5,214.5
Miami Heat,2025-03-29 06:40 PM,-8.5,214.5
San Antonio Spurs,2025-03-29 07:10 PM,12.5,230.5
Boston Celtics,2025-03-29 07:10 PM,-12.5,230.5
Chicago Bulls,2025-03-29 07:10 PM,-2.5,237.5
Dallas Mavericks,2025-03-29 07:10 PM,2.5,237.5
Oklahoma City Thunder,2025-03-29 07:10 PM,-9.5,236.0
Indiana Pacers,2025-03-29 07:10 PM,9.5,236.0
Memphis Grizzlies,2025-03-29 07:10 PM,-2.0,239.5
Los Angeles Lakers,2025-03-29 07:10 PM,2.0,239.5
